I	0	5661	-
I	1002837	1003599	-
I	1005498	1005709	+
I	1006258	1008002	+
I	1008214	1008580	+
I	1008848	1009022	+
I	1009068	1010317	+
I	1010342	1015414	-
I	1015474	1015829	+
I	1016102	1016668	-
I	1016729	1018826	-
I	101714	101868	-
I	101871	103593	-
I	1018732	1021092	+
I	1018868	1019030	-
I	1019247	1020837	-
I	1021694	1022806	+
I	1022846	1023793	+
I	1023835	1024134	+
I	1024001	1025902	-
I	1025198	1025634	+
I	1027810	1029992	+
I	1028238	1030658	-
I	1030124	1030286	+
I	1030337	1030440	+
I	1030502	1030720	+
I	1030810	1030925	+
I	1030997	1031360	+
I	1031417	1031940	+
I	1031903	1033017	-
I	1032084	1032214	+
I	1032257	1032309	+
I	1032358	1032585	+
I	1032627	1032715	+
I	1032765	1034166	+
I	1034295	1035991	+
I	1036032	1036342	+
I	1036396	1036507	+
I	1036638	1038060	-
I	1038115	1038266	-
I	1038378	1041194	+
I	1038514	1042026	-
I	103940	104952	+
I	1041413	1041597	+
I	1041672	1041744	+
I	1041979	1043263	-
I	1042069	1043082	+
I	1043381	1043511	-
I	1043595	1043670	-
I	1043719	1043788	-
I	1044000	1044239	-
I	1044843	1046787	+
I	1046858	1048933	-
I	1047064	1047384	+
I	1047434	1047484	+
I	1047529	1047740	+
I	1048956	1049197	+
I	1049364	1050087	+
I	1050174	1051135	+
I	1051664	1051738	+
I	1051782	1051920	+
I	1051970	1052723	+
I	1052874	1053166	+
I	1053243	1053675	+
I	1053719	1054253	+
I	1054345	1054467	+
I	1054664	1054808	+
I	1054873	1054955	+
I	1055167	1055905	+
I	1055848	1057577	-
I	1057646	1058237	-
I	1057700	1058414	+
I	1058464	1058513	+
I	1058622	1059776	+
I	1058645	1062563	-
I	1059837	1060103	+
I	1060142	1060669	+
I	1060708	1061165	+
I	1062630	1062737	-
I	1062795	1063305	-
I	1063020	1063447	+
I	1063728	1066953	+
I	1066191	1067717	-
I	1067772	1070005	-
I	1068667	1070234	+
I	106892	108360	+
I	1069922	1072342	-
I	1073170	1074074	+
I	1074330	1077513	-
I	1079634	1080605	-
I	1080658	1081432	-
I	1081470	1081712	-
I	1081801	1083524	+
I	1081915	1083141	-
I	1083193	1083615	-
I	1084067	1086425	+
I	1086241	1087504	-
I	108731	109194	-
I	1087442	1089043	-
I	1089306	1089672	-
I	1090677	1092302	+
I	1092386	1094378	+
I	1094261	1094559	-
I	1094615	1094694	-
I	1094744	1094853	-
I	1094896	1094919	-
I	1095141	1095273	-
I	1095327	1095546	-
I	109627	112376	+
I	1096368	1096465	+
I	1096473	1096544	+
I	1096763	1096923	-
I	1097011	1097197	-
I	1097247	1097386	-
I	1097448	1099553	-
I	109828	110454	-
I	1099488	1101582	-
I	1099990	1101662	+
I	1101648	1103815	+
I	1101684	1101978	-
I	1102022	1102289	-
I	1102334	1103889	-
I	11026	11555	-
I	1104752	1106202	+
I	1106252	1106607	+
I	1106429	1107884	-
I	1108484	1108702	+
I	1108758	1108845	+
I	110903	112045	-
I	1109054	1110685	+
I	1109348	1110292	-
I	1110755	1110808	-
I	1110851	1111220	-
I	1112169	1112463	+
I	1112507	1115867	+
I	1115898	1116201	-
I	1116246	1116366	-
I	1116414	1118411	-
I	1118925	1119619	+
I	1119748	1119762	+
I	1119879	1123772	+
I	112097	112332	-
I	112377	112498	-
I	1124057	1129103	+
I	112513	113366	-
I	1126900	1129343	-
I	1129390	1129981	-
I	1129518	1133088	+
I	1133225	1134282	-
I	1134331	1134355	-
I	113434	114444	-
I	1134417	1135060	-
I	1134588	1135837	+
I	1135194	1135401	-
I	1135516	1135683	-
I	1135728	1135775	-
I	1135931	1136037	-
I	1136195	1136753	-
I	1136796	1138045	-
I	1138565	1139116	+
I	1139129	1139332	+
I	1139447	1140324	+
I	113949	115961	+
I	1140579	1142001	+
I	1143062	1145255	+
I	1145304	1145695	+
I	1145887	1146040	+
I	1146109	1146799	+
I	1146597	1148059	-
I	1146832	1148084	+
I	1148130	1152177	-
I	1149077	1150658	+
I	1151430	1153637	+
I	1153571	1156803	+
I	1156486	1159593	-
I	1159625	1159999	-
I	1160117	1161594	-
I	116053	120308	-
I	1162202	1162900	-
I	1163056	1163521	+
I	116330	118188	+
I	1163744	1165580	-
I	1165697	1166643	+
I	1166561	1169742	-
I	1170195	1170460	-
I	1170503	1171269	-
I	1171361	1171855	-
I	1171899	1171955	-
I	1171998	1172170	-
I	1172208	1174706	+
I	1172350	1172788	-
