chrI	87387	87499	+
chrI	139187	139217	+
chrI	142253	142618	+
chrI	151006	151095	-
chrI	181178	181209	+
chrII	4116	4214	-
chrII	36434	36451	+
chrII	47058	47145	-
chrII	60193	60696	-
chrII	110420	110504	-
chrII	110879	110947	+
chrII	125154	125269	+
chrII	142749	142845	-
chrII	168424	168807	+
chrII	170676	170803	+
chrII	186352	186426	-
chrII	332875	333385	+
chrII	366502	366583	-
chrII	393180	393509	+
chrII	407027	407121	-
chrII	414753	415258	-
chrII	426516	426872	-
chrII	462209	462288	+
chrII	462429	462498	+
chrII	479345	479433	+
chrII	592416	592767	-
chrII	602103	602215	+
chrII	604514	604926	+
chrII	606280	606667	+
chrII	653368	653451	+
chrII	662581	663001	-
chrII	679942	680038	-
chrII	726917	727010	-
chrIII	90896	90927	+
chrIII	101633	101699	-
chrIII	107033	107109	+
chrIII	107191	107286	+
chrIII	111557	111632	-
chrIII	173115	173197	-
chrIII	177906	178212	-
chrIII	227978	227996	+
chrIII	293939	293992	+
chrIII	294239	294290	+
chrIV	65306	65376	+
chrIV	117666	118156	+
chrIV	217602	218006	+
chrIV	230019	230319	+
chrIV	239398	239508	-
chrIV	254974	255043	-
chrIV	267725	267805	+
chrIV	307333	307764	-
chrIV	308427	308791	+
chrIV	314044	314335	-
chrIV	322282	322702	+
chrIV	337524	337633	+
chrIV	359613	359635	+
chrIV	399361	399483	+
chrIV	431386	431471	-
chrIV	458017	458096	-
chrIV	491559	491897	+
chrIV	569633	569722	-
chrIV	579478	580016	+
chrIV	629905	630172	+
chrIV	715247	715357	-
chrIV	733702	733774	-
chrIV	884397	884456	+
chrIV	946350	946363	+
chrIV	1073312	1073400	-
chrIV	1095405	1095423	-
chrIV	1103809	1103891	+
chrIV	1212877	1212977	+
chrIV	1236842	1237607	+
chrIV	1238630	1238823	-
chrIV	1266769	1266860	-
chrIV	1319617	1319696	-
chrIV	1319720	1319815	-
chrIV	1355236	1355549	-
chrIV	1359969	1360403	+
chrIV	1401800	1402183	+
chrIV	1450457	1450845	-
chrIV	1461758	1461790	-
chrIV	1507058	1507313	-
chrV	4322	4600	-
chrV	131776	131898	+
chrV	148194	148281	+
chrV	158994	159086	-
chrV	166771	166873	-
chrV	184169	184676	-
chrV	239623	239710	-
chrV	269751	270147	-
chrV	306325	306790	+
chrV	307746	307847	+
chrV	307956	308066	+
chrV	348201	348275	-
chrV	396810	397280	+
chrV	432671	433195	+
chrV	548552	548643	+
chrVI	54377	54685	-
chrVI	63859	63972	-
chrVI	64599	64919	-
chrVI	75839	76090	+
chrVI	101411	101441	+
chrVI	157951	157969	-
chrVI	167475	167488	+
chrVI	191557	191575	-
chrVI	203292	203385	-
chrVI	210654	210667	-
chrVI	221267	221413	-
chrVI	242009	242080	+
chrVII	31426	31577	-
chrVII	62131	62188	+
chrVII	72988	73136	-
chrVII	115524	115546	+
chrVII	157199	157281	-
chrVII	167354	167993	+
chrVII	205558	205589	+
chrVII	249886	250085	+
chrVII	287385	287418	-
chrVII	311015	311525	+
chrVII	346808	346892	-
chrVII	364964	365431	-
chrVII	365526	365984	-
chrVII	423129	423160	+
chrVII	435679	435748	+
chrVII	436312	436373	+
chrVII	439093	439322	+
chrVII	440751	440769	-
chrVII	497365	497457	-
chrVII	497937	497998	-
chrVII	543638	543720	+
chrVII	555830	556306	+
chrVII	700988	701010	-
chrVII	727038	727356	+
chrVII	857421	857452	-
chrVII	859260	859472	-
chrVII	878745	878778	-
chrVII	920664	921118	+
chrVII	946327	946419	+
chrVII	1084882	1085029	+
chrVIII	1897	2669	-
chrVIII	104405	104802	+
chrVIII	107831	107893	+
chrVIII	126551	127111	+
chrVIII	129528	129646	+
chrVIII	138240	138407	-
chrVIII	148116	148665	-
chrVIII	187514	187675	-
chrVIII	189749	189849	-
chrVIII	237883	237901	-
chrVIII	251155	251247	+
chrVIII	255637	255749	-
chrVIII	262354	262439	-
chrVIII	298360	298483	-
chrVIII	315771	315857	-
chrVIII	354864	354954	+
chrVIII	358513	358531	-
chrVIII	382306	382746	-
chrVIII	388928	388958	-
chrVIII	498719	498785	-
chrVIII	505247	505515	-
chrVIII	558615	558713	+
chrIX	4598	4985	-
chrIX	47698	47759	+
chrIX	68715	69148	+
chrIX	99095	99384	-
chrIX	155222	155309	+
chrIX	166434	166518	+
chrIX	225809	225898	-
chrIX	231957	232365	-
chrIX	256554	257025	-
chrIX	316771	317170	+
chrIX	348363	348493	-
chrX	4581	4968	-
chrX	50268	50410	-
chrX	73796	74203	+
chrX	75938	76323	+
chrX	91094	91410	+
chrX	156789	157248	-
chrX	354282	354295	+
chrX	365784	365901	+
chrX	387348	387434	-
chrX	396493	396569	-
chrX	415966	415999	-
chrX	435227	435342	+
chrX	469183	469262	-
chrX	542991	543004	-
chrX	580347	581051	+
chrX	608306	608580	+
chrX	617956	617974	+
chrX	637809	637857	+
chrX	702798	703053	-
chrXI	82998	83073	+
chrXI	109577	109882	+
chrXI	155271	155653	+
chrXI	158615	158965	+
chrXI	283095	283420	+
chrXI	302953	302986	+
chrXI	430455	430595	-
chrXI	432034	432431	+
chrXI	437837	437904	+
chrXI	447706	447809	-
chrXI	449951	450019	-
chrXI	458594	458625	+
chrXI	551680	552001	+
chrXI	579001	579023	+
chrXI	618374	618741	-
chrXI	625901	625975	+
chrXII	3915	4013	-
chrXII	9450	9548	-
chrXII	40221	40399	-
chrXII	92583	92613	+
chrXII	242321	242679	+
chrXII	250860	250946	-
chrXII	263205	263593	+
chrXII	286467	286555	-
chrXII	327258	327398	-
chrXII	398532	398625	+
chrXII	522669	523027	+
chrXII	548677	548762	-
chrXII	550458	550573	-
chrXII	564454	564512	-
chrXII	592562	592580	-
chrXII	605335	605394	-
chrXII	628420	628452	+
chrXII	694382	694471	+
chrXII	712725	713154	-
chrXII	732127	732145	+
chrXII	744153	744286	+
chrXII	766073	766128	-
chrXII	766181	766248	-
chrXII	784389	784408	+
chrXII	786615	786711	+
chrXII	819330	819776	+
chrXII	856574	857056	+
chrXII	875412	875434	+
